iter	MultiClass
0	0.9862020508
1	0.9216413744
2	0.8824521025
3	0.855524844
4	0.8364673076
5	0.8218165741
6	0.8129339767
7	0.805879151
8	0.7989142045
9	0.7937780178
10	0.7907538345
11	0.7854812188
12	0.783315897
13	0.7807780917
14	0.7768204822
15	0.7742834565
16	0.7717098221
17	0.7701826367
18	0.7680538955
19	0.7654467123
20	0.764301131
21	0.7621080039
22	0.7607629676
23	0.7599562413
24	0.7587362059
25	0.757061957
26	0.7555946027
27	0.7547238956
28	0.7524916808
29	0.7519444408
30	0.7502119079
31	0.7493088752
32	0.7483707197
33	0.7474882471
34	0.7469998134
35	0.7462164508
36	0.7454923056
37	0.7449400306
38	0.744130156
39	0.7433238662
40	0.7427217541
41	0.7421873698
42	0.7416820919
43	0.7410810417
44	0.7402065748
45	0.7397162423
46	0.7389758326
47	0.7376477494
48	0.7358569526
49	0.7345929136
50	0.7341370177
51	0.7335330556
52	0.7328098732
53	0.7319877241
54	0.7313519098
55	0.7308232549
56	0.7299381287
57	0.7292388068
58	0.7285103682
59	0.7278373402
60	0.7272494078
61	0.7268308162
62	0.7259206895
63	0.7250651579
64	0.7245775016
65	0.7242131165
66	0.7237149349
67	0.7228606631
68	0.7216969738
69	0.7208335763
70	0.7200949261
71	0.7199579154
72	0.7196628739
73	0.7189870796
74	0.7185067717
75	0.7175747871
76	0.7167162105
77	0.716144701
78	0.7157404748
79	0.7155016196
80	0.7152352015
81	0.7144698806
82	0.7139931222
83	0.713666866
84	0.7132827954
85	0.7130521132
86	0.7128256203
87	0.7122339597
88	0.7117151672
89	0.711123474
90	0.7105649662
91	0.7101653808
92	0.7097072899
93	0.7093692344
94	0.708759885
95	0.7083993376
96	0.7079315945
97	0.7075359329
98	0.7069492552
99	0.70668897
100	0.7062836353
101	0.7057781981
102	0.7052138241
103	0.7048717012
104	0.704314912
105	0.7037836824
106	0.7035476663
107	0.7031473743
108	0.7028811986
109	0.7024816419
110	0.7023013535
111	0.7020343445
112	0.7014934924
113	0.700882157
114	0.7001682987
115	0.6997197643
116	0.6994358316
117	0.6989996189
118	0.6982237189
119	0.6979791852
120	0.69749447
121	0.6973028556
122	0.6965589199
123	0.6958777026
124	0.6954549102
125	0.6948730423
126	0.6944925721
127	0.6942408918
128	0.6938830786
129	0.693389693
130	0.6929889773
131	0.6927726768
132	0.6925037534
133	0.6922629103
134	0.6921055002
135	0.6915043461
136	0.6911006735
137	0.6909733716
138	0.6907828356
139	0.690343902
140	0.6899446287
141	0.6897336338
142	0.6890027506
143	0.6888017301
144	0.6885660719
145	0.688307785
146	0.6880787207
147	0.6879439907
148	0.6877710342
149	0.6874680141
150	0.6868596269
151	0.6866838103
152	0.6865547018
153	0.6863039956
154	0.6860710455
155	0.6858833113
156	0.6856223398
157	0.6855290476
158	0.6852198117
159	0.6850932784
160	0.6847889621
161	0.6844359439
162	0.6842905254
163	0.683738768
164	0.6835273612
165	0.6830261403
166	0.6829305353
167	0.6824247802
168	0.6822852099
169	0.6821000301
170	0.6819819003
171	0.6818357536
172	0.681507723
173	0.6808999403
174	0.6803656681
175	0.6800620055
176	0.6797150062
177	0.6793064311
178	0.6791987744
179	0.6789791752
180	0.6787074912
181	0.6785000405
182	0.6782577603
183	0.6780925978
184	0.677960889
185	0.6777202268
186	0.6774143469
187	0.6770613467
188	0.6769468474
189	0.6766224797
190	0.6763520973
191	0.6759093482
192	0.6756899383
193	0.6754265278
194	0.6752286478
195	0.6750735402
196	0.6749757887
197	0.6747822349
198	0.6745847712
199	0.6743064347
200	0.6740929329
201	0.6738260674
202	0.6736185568
203	0.6734258203
204	0.6731006139
205	0.6729178361
206	0.6728007627
207	0.6726039528
208	0.6722879719
209	0.6719991697
210	0.6717141462
211	0.6715836546
212	0.6713350435
213	0.6711283497
214	0.6708569834
215	0.670387013
216	0.6701590251
217	0.6700615182
218	0.6698384045
219	0.6695543523
220	0.6693170253
221	0.6691462317
222	0.6688190988
223	0.6684845896
224	0.6683717964
225	0.6681094773
226	0.6678198505
227	0.6675495748
228	0.6672543585
229	0.66705587
230	0.6666793006
231	0.6665644909
232	0.6663121263
233	0.6660358196
234	0.6658186338
235	0.6654949999
236	0.6653634739
237	0.6651501374
238	0.6649676052
239	0.6647442696
240	0.6646156201
241	0.6644916158
242	0.6644134066
243	0.6642222441
244	0.663914492
245	0.6636801421
246	0.6632706143
247	0.6631025326
248	0.6629268535
249	0.6627558213
250	0.6625229541
251	0.662284116
252	0.6620955919
253	0.6618617292
254	0.6617340847
255	0.6615510616
256	0.6613594381
257	0.661117754
258	0.6608613694
259	0.6604988125
260	0.6602465971
261	0.6599954577
262	0.6597053823
263	0.6595785366
264	0.6593887386
265	0.6592599944
266	0.659157969
267	0.6589472264
268	0.6587034677
269	0.6585130559
270	0.6582319606
271	0.6581306651
272	0.6578864468
273	0.6577162182
274	0.6574203044
275	0.6573086158
276	0.6570447324
277	0.656817193
278	0.6565818375
279	0.6564032991
280	0.6558969094
281	0.6557174719
282	0.6554099778
283	0.6553039889
284	0.655074091
285	0.6547514504
286	0.6545224855
287	0.6544487665
288	0.6542965199
289	0.6539548746
290	0.6538153742
291	0.6536572645
292	0.6534931455
293	0.653351624
294	0.6532494288
295	0.6529555018
296	0.6527300899
297	0.6526237136
298	0.6524011206
299	0.6522955095
