iter	Passed	Remaining
0	68	20548
1	77	11533
2	83	8259
3	91	6786
4	97	5731
5	102	5001
6	107	4495
7	113	4130
8	119	3860
9	125	3628
10	130	3440
11	136	3271
12	141	3131
13	147	3009
14	153	2911
15	158	2815
16	165	2759
17	171	2685
18	179	2647
19	185	2593
20	190	2533
21	196	2486
22	202	2439
23	208	2393
24	229	2521
25	235	2481
26	241	2446
27	248	2410
28	254	2376
29	259	2335
30	265	2307
31	271	2273
32	276	2240
33	281	2205
34	287	2176
35	293	2148
36	298	2118
37	303	2093
38	308	2067
39	316	2057
40	321	2032
41	327	2009
42	332	1988
43	345	2012
44	351	1991
45	357	1972
46	363	1955
47	369	1941
48	375	1922
49	381	1906
50	386	1887
51	391	1867
52	396	1849
53	403	1836
54	409	1825
55	415	1810
56	422	1801
57	429	1793
58	435	1779
59	441	1767
60	446	1751
61	452	1737
62	459	1726
63	466	1718
64	471	1704
65	478	1695
66	483	1682
67	489	1670
68	495	1658
69	500	1644
70	506	1634
71	512	1622
72	517	1609
73	523	1597
74	528	1584
75	535	1576
76	542	1571
77	548	1561
78	553	1549
79	559	1538
80	565	1527
81	570	1517
82	575	1505
83	581	1495
84	587	1487
85	593	1476
86	598	1465
87	605	1458
88	611	1449
89	616	1439
90	626	1438
91	632	1429
92	638	1420
93	649	1423
94	656	1417
95	664	1412
96	670	1403
97	675	1393
98	683	1387
99	688	1377
100	694	1369
101	701	1362
102	707	1353
103	713	1343
104	718	1334
105	723	1324
106	729	1315
107	736	1309
108	744	1304
109	749	1294
110	755	1286
111	762	1280
112	769	1272
113	774	1264
114	780	1255
115	786	1247
116	791	1238
117	797	1230
118	803	1222
119	810	1216
120	816	1207
121	822	1199
122	828	1191
123	834	1184
124	840	1176
125	845	1168
126	851	1160
127	857	1152
128	863	1144
129	869	1136
130	874	1128
131	880	1120
132	886	1113
133	896	1110
134	902	1103
135	908	1095
136	920	1094
137	926	1087
138	931	1079
139	941	1076
140	947	1068
141	953	1060
142	959	1053
143	964	1045
144	970	1037
145	980	1034
146	987	1027
147	992	1019
148	999	1012
149	1006	1006
150	1012	999
151	1018	991
152	1024	984
153	1030	976
154	1036	969
155	1041	961
156	1047	954
157	1053	946
158	1061	941
159	1067	933
160	1072	926
161	1079	919
162	1084	911
163	1089	903
164	1095	896
165	1100	888
166	1105	880
167	1112	873
168	1118	866
169	1123	859
170	1129	851
171	1136	845
172	1141	837
173	1146	830
174	1152	823
175	1157	815
176	1163	808
177	1169	801
178	1175	794
179	1181	787
180	1187	780
181	1194	774
182	1200	767
183	1206	760
184	1211	753
185	1218	746
186	1224	739
187	1232	734
188	1237	726
189	1243	719
190	1248	712
191	1254	705
192	1259	698
193	1264	691
194	1271	684
195	1277	677
196	1283	671
197	1289	664
198	1294	657
199	1299	649
200	1304	642
201	1318	639
202	1324	633
203	1330	625
204	1335	618
205	1341	612
206	1347	605
207	1352	598
208	1358	591
209	1364	584
210	1370	577
211	1375	571
212	1381	564
213	1392	559
214	1399	553
215	1405	546
216	1412	540
217	1419	534
218	1426	527
219	1432	520
220	1437	513
221	1443	507
222	1448	500
223	1454	493
224	1459	486
225	1466	480
226	1472	473
227	1478	466
228	1483	459
229	1488	453
230	1494	446
231	1500	439
232	1506	433
233	1512	426
234	1519	420
235	1525	413
236	1530	406
237	1536	400
238	1542	393
239	1547	386
240	1553	380
241	1559	373
242	1566	367
243	1575	361
244	1582	355
245	1587	348
246	1593	341
247	1599	335
248	1605	328
249	1610	322
250	1617	315
251	1623	309
252	1628	302
253	1634	295
254	1639	289
255	1644	282
256	1649	276
257	1655	269
258	1660	262
259	1666	256
260	1671	249
261	1677	243
262	1685	237
263	1691	230
264	1697	224
265	1702	217
266	1707	211
267	1715	204
268	1724	198
269	1730	192
270	1736	185
271	1741	179
272	1746	172
273	1752	166
274	1757	159
275	1763	153
276	1769	146
277	1774	140
278	1780	133
279	1785	127
280	1791	121
281	1797	114
282	1803	108
283	1809	101
284	1821	95
285	1828	89
286	1834	83
287	1839	76
288	1844	70
289	1854	63
290	1862	57
291	1869	51
292	1877	44
293	1885	38
294	1896	32
295	1901	25
296	1909	19
297	1916	12
298	1923	6
299	1928	0
